Province;clubs
Aceh;3
North Sumatera;3
West Sumatera;3
Riau;3
Jambi;3
South Sumatera;3
Bengkulu;3
Lampung;3
Bangka Belitung;3
Riau Islands;1
Jakarta;1
West Java;2
Central Java;3
Yogyakarta;3
East Java;3
Banten;1
Bali;2
East Nusa Tenggara;3
West Nusa Tenggara;3
West Kalimantan;3
Central Kalimantan;2
South Kalimantan;3
East Kalimantan;2
North Kalimantan;2
North Sulawesi;2
Central Sulawesi;3
South Sulawesi;2
Southeast Sulawesi;3
Gorontalo;3
West Sulawesi;3
Maluku;3
North Maluku;3
West Papua;2
Papua;2
